title,description,price,count
Wireless Mouse,Ergonomic 2.4GHz wireless mouse with silent click buttons,21.99,140
Mechanical Keyboard,Hot swappable RGB mechanical keyboard with brown switches,99.00,55
27 Inch Monitor,27 inch IPS monitor 2560x1440 with 75Hz refresh rate,229.00,30
USB C Hub,8 in 1 USB C hub with HDMI Ethernet and SD card reader,44.99,95
Noise Cancelling Headphones,Bluetooth over ear headphones with active noise cancellation,139.99,40
Webcam Full HD,1080p webcam with auto focus and dual microphones,54.90,68
Portable SSD 1TB,USB 3.2 external solid state drive with 1TB capacity,89.99,85
Laptop Stand,Aluminum adjustable stand for 11 to 17 inch laptops,29.50,160
Gaming Chair,Ergonomic gaming chair with lumbar and neck support pillows,189.00,22
Smart Watch,Fitness smartwatch with heart rate and sleep tracking,119.00,75
Bluetooth Speaker,Portable waterproof speaker with 12 hour battery life,59.99,110
Office Desk Lamp,LED desk lamp with touch controls and USB charging port,34.00,130
